timestamp,side,priceUsd,inputMint,outputMint,amountAtomic,amountInput,amountUsd,slippageBps,mode,sizeValue,signature,status,error
2025-11-06T14:50:43.736Z,BUY,158.427940,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:50:44.952Z,BUY,158.394336,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:50:46.539Z,BUY,158.351078,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:50:49.872Z,BUY,158.604452,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16478218,16.478218000,16.478218,50,pct,0.2,2MsEGd5b8tLmGbzFgRYUZfeeDFUuv9y31sEJYzMkXq3csZt7KwdRtfDXkckMjpPohoJbmvEsEfRru5BUQhfYhcCn,submitted,
2025-11-06T14:51:19.849Z,SELL,158.605030,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103915036,0.103915036,16.481447,50,pct,0.2,4YFqbWf5bm23D5tWP4uF4AT67pYXT7PhuTXiNSLtJfrtrMkmwgxoJFNd3Tn3LahniVegMpvwx3LNr4zpQwVNkzVg,submitted,
2025-11-06T14:51:31.058Z,SELL,158.684504,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103880582,0.103880582,16.484239,50,pct,0.2,2G4zthBVTAtfnvJ4aAK5zkQKWmE73FHdgCNSx9HLbrrXAE53bCundyszgnHnNKt45PZ9VXNNHcfLGihqJC4Mooqd,submitted,
2025-11-06T14:51:32.561Z,SELL,158.680080,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103868333,0.103868333,16.481835,50,pct,0.2,3y7vxSsz5gYAkGmjMaKs2eePqPtT5kyoB2aNKpi97h32PnKigghDAB38926NMm6wB4Sv9HyLgNZZ77cvSauLk7Y1,submitted,
2025-11-06T14:51:37.195Z,BUY,158.302187,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:51:41.450Z,BUY,158.419610,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16471561,16.471561000,16.471561,50,pct,0.2,3mV57rJCEQGdGGDmGyR6YmVHTSKqA5z933QncsMnyvj9GZnmGEP8wR1k2Qz4g8x4WBV6XysqH7nutgJ7incB9TuS,submitted,
2025-11-06T14:52:59.593Z,SELL,158.065030,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104096749,0.104096749,16.454056,50,pct,0.2,,failed,Simulation failed. Message: Transaction simulation failed: Error processing Instruction 5: Program failed to complete.
2025-11-06T14:53:15.043Z,SELL,158.193095,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,52272184,0.052272184,8.269099,50,pct,0.2,,failed,Transaction too large: 1607 > 1232
2025-11-06T14:53:21.109Z,SELL,158.179170,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104059353,0.104059353,16.460022,50,pct,0.2,4QSGXTif8GjczEdth45orJY61vfZpRjCmyZDFXHrbookdFKAxdYx1CBvHqHXu9LfYn4vB1CHjEtmcUzHAGzNjLxh,submitted,
2025-11-06T14:53:22.738Z,SELL,158.310266,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103985770,0.103985770,16.462015,50,pct,0.2,2MfeFdRcCFh69Lfm36yosqTGawD8haF7uUNze6FFgPptXSon8fE5gKNdmWNbtWAtb24ntSsED8Ej36u3s3CdBw26,submitted,
2025-11-06T14:53:59.412Z,BUY,158.133716,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:54:03.956Z,BUY,158.258000,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16459025,16.459025000,16.459025,50,pct,0.2,2ZGQXptARqTLxJn4NYfeMXaxg3wnsMUDf34ENLVARwj7zpK7oSAra1BiqmpkBWzKUorR5XaRB4kfi8rGFQDSp8kd,submitted,
