timestamp,Open,High,Low,Close
2022-02-03 21:00:00,2633.71707,2672.72581,2630.15467,2657.69636
2022-02-03 22:00:00,2657.72237,2673.73091,2644.96421999,2661.74179999
2022-02-03 23:00:00,2661.73208,2698.4059,2654.34924,2691.6636
2022-02-04 00:00:00,2691.6636,2696.6695,2679.74377999,2689.406
2022-02-04 01:00:00,2690.2631,2690.2631,2672.61442,2679.63494
2022-02-04 02:00:00,2679.63915,2699.12759999,2676.35359,2686.8619
2022-02-04 03:00:00,2688.3717,2696.1637,2683.23786,2685.1705
2022-02-04 04:00:00,2685.13659999,2690.971,2677.09348,2684.93359999
2022-02-04 05:00:00,2684.93469999,2779.4641,2683.95826,2770.8635
2022-02-04 06:00:00,2770.8625,2809.4302,2769.9955,2797.4833
2022-02-04 07:00:00,2797.2425,2807.4116,2785.9224,2802.7894
2022-02-04 08:00:00,2802.7825,2849.6406,2802.7825,2837.282
2022-02-04 09:00:00,2837.2902,2856.5018,2824.4187,2848.537
2022-02-04 10:00:00,2848.3963,2867.5467,2825.5082,2834.2355
2022-02-04 11:00:00,2834.2456,2844.6361,2825.3611,2830.7845
2022-02-04 12:00:00,2830.787,2847.8187,2829.3469,2839.4717
2022-02-04 13:00:00,2839.472,2852.3299,2770.0109,2770.6427
2022-02-04 14:00:00,2770.6489,2834.8001,2764.2395,2827.595
2022-02-04 15:00:00,2827.595,2926.429,2824.911,2872.7019
2022-02-04 16:00:00,2871.8876,2958.1777,2869.7489,2936.8
2022-02-04 17:00:00,2936.25,2961.9298,2926.412,2958.9462
2022-02-04 18:00:00,2958.2154,2969.3184,2942.0644,2947.3745
2022-02-04 19:00:00,2947.3634,2965.0191,2931.8186,2957.5889
2022-02-04 20:00:00,2960.992,2978.1736,2947.8368,2954.561
2022-02-04 21:00:00,2954.6352,2957.2489,2943.4538,2953.6952
2022-02-04 22:00:00,2953.6081,2963.2317,2932.505,2957.849
2022-02-04 23:00:00,2957.8488,2993.0687,2947.9317,2992.7593
2022-02-05 00:00:00,2994.4546,3015.1388,2973.0077,2987.3456
2022-02-05 01:00:00,2987.2691,2988.505,2961.0109,2974.9333
2022-02-05 02:00:00,2975.2764,3009.3278,2969.9924,2997.5898
2022-02-05 03:00:00,2996.7382,3007.1603,2982.809,2998.7258
2022-02-05 04:00:00,2998.6502,3037.6043,2992.1689,3014.7458
2022-02-05 05:00:00,3014.8143,3036.0376,3012.6194,3026.5052
2022-02-05 06:00:00,3026.5102,3037.8534,3008.2543,3009.6679
2022-02-05 07:00:00,3009.526,3012.0222,2999.2393,3002.9786
2022-02-05 08:00:00,3003.0427,3020.2227,2989.9927,3009.2812
2022-02-05 09:00:00,3009.36,3033.747,3005.0005,3027.7283
